id,year,sys,fis,per,ad,co,ba,no,pv,in,ve,cc,cp,cm,value,cluster
0,2022,284,56,658,0,34800,31090,13870,476820,253080,37400,248600,270560,363570,1729790,0
1,2020,264,132,579,0,0,0,0,0,614120,0,0,0,869450,1483570,1
2,2022,193,63,475,0,0,13440,0,540440,324640,21720,22000,22000,446450,1390690,4
3,2020,73,7,462,18000,94690,94690,97690,94240,65370,67080,56370,56370,67080,711580,0
4,2022,81,16,282,18000,25700,13440,13870,299780,79740,87610,62260,11850,103320,715570,0
5,2022,40,8,271,0,34800,34800,35870,221040,76040,59120,16370,26520,78470,583030,0
6,2022,54,24,313,0,26900,26900,14460,223460,148490,24500,22000,22000,24500,533210,0
7,2021,124,41,141,0,9750,9750,6340,185840,114270,3550,5970,5970,142820,484260,0
8,2022,103,44,168,18000,15800,15800,18170,219160,144380,18780,9040,9040,18780,486950,0
9,2022,38,6,272,18000,26880,21340,13870,124900,45830,88030,52550,14970,58260,464630,0
10,2021,43,17,165,0,13440,13440,13870,277780,81320,10860,9000,9000,24500,453210,0
11,2022,73,22,146,0,7900,7900,8120,173800,99440,6450,4520,4520,141900,454550,0
12,2022,18,2,900,0,53800,53800,55500,65600,44000,49000,44000,44000,49000,458700,0
13,2022,18,4,795,0,107600,53800,55500,0,44000,49000,44000,44000,49000,446900,0
14,2022,33,7,285,0,26900,72530,13870,0,67040,144220,67040,22000,24500,438100,0
15,2022,92,17,145,0,7900,7900,8120,133400,56270,80650,53420,15920,70560,434140,0
16,2022,94,47,127,0,0,0,0,252960,157820,0,4520,0,10650,425950,1
17,2022,30,8,194,9000,0,0,0,213140,63000,76020,60890,0,0,422050,4
18,2022,82,26,139,0,19570,19570,14460,133820,98750,31720,53910,14700,25880,412380,0
19,2022,52,22,142,0,26900,7900,8120,217260,100580,10860,9000,4520,17310,402450,0
20,2022,78,24,126,0,13440,7900,8120,154080,87380,6450,4520,4520,111420,397830,0
21,2022,45,15,127,0,0,0,0,245100,61120,0,0,0,85150,391370,1
22,2022,32,4,62,9000,21930,23700,22580,15800,16410,30210,18080,13560,16450,187720,0
23,2022,63,30,134,0,13440,13440,8120,141640,73460,10860,9000,18000,96480,384440,0
24,2022,66,12,136,0,26900,7900,13870,72780,44490,71680,49010,37340,58780,382750,0
25,2022,20,4,497,0,34780,40340,14460,65600,44000,49000,44000,31000,49000,372180,0
26,2022,19,3,329,18000,40340,34800,35870,65600,44000,24500,22000,26520,24500,336130,0
27,2022,25,8,147,0,0,0,0,171660,93520,0,2850,0,109750,377780,1
28,2021,36,4,144,0,31600,31600,32480,131200,27040,30210,27040,22560,43440,377170,0
